Player,Country,Games Played,Games Started,Minutes Played,Total Tackles,Tackle Success Rate,Duels Won,Clearances,Interceptions,Own Goals,Goals Conceded,Fouls Committed,Fouls Suffered
L. Modric,CRO,7.0,7.0,656.0,7.0,0.778,1.0,5.0,9.0,0.0,0.0,13.0,15.0
J. Gvardiol,CRO,7.0,7.0,690.0,10.0,0.909,4.0,56.0,9.0,0.0,0.0,8.0,6.0
A. Rabiot,FRA,6.0,6.0,483.0,14.0,0.933,0.0,8.0,8.0,0.0,0.0,10.0,5.0
J. Irvine,AUS,4.0,4.0,355.0,4.0,1.0,0.0,12.0,8.0,0.0,0.0,7.0,3.0
D. Rice,ENG,5.0,5.0,417.0,8.0,0.8,2.0,5.0,7.0,0.0,0.0,3.0,2.0
R. De Paul,ARG,7.0,7.0,603.0,8.0,1.0,0.0,11.0,7.0,0.0,0.0,7.0,15.0
K. Baccus,AUS,4.0,4.0,113.0,0.0,0.7871666666666668,0.0,3.0,7.0,0.0,0.0,4.0,1.0
H. Ziyech,MAR,7.0,7.0,638.0,4.0,0.667,0.0,2.0,7.0,0.0,0.0,12.0,7.0
P. Carvalho Deus Correia,QAT,3.0,3.0,263.0,4.0,0.667,0.0,16.0,6.0,0.0,0.0,4.0,5.0
I. Perisic,CRO,7.0,7.0,671.0,6.0,1.0,1.0,15.0,6.0,0.0,0.0,10.0,0.0
S. Amallah,MAR,7.0,7.0,411.0,6.0,1.0,1.0,3.0,6.0,0.0,0.0,11.0,8.0
A. Hakimi,MAR,7.0,7.0,633.0,18.0,0.818,2.0,17.0,6.0,0.0,0.0,6.0,13.0
Casemiro,BRA,4.0,4.0,390.0,9.0,0.643,2.0,10.0,6.0,0.0,0.0,7.0,3.0
F. Valverde,URU,3.0,3.0,270.0,8.0,1.0,0.0,5.0,6.0,0.0,0.0,6.0,2.0
F. De Jong,NED,5.0,5.0,476.0,5.0,0.625,3.0,3.0,5.0,0.0,0.0,4.0,6.0
I. Gueye,SEN,3.0,3.0,270.0,1.0,0.5,1.0,0.0,5.0,0.0,0.0,4.0,1.0
A. Nourollahi,IRN,3.0,3.0,225.0,2.0,0.667,0.0,10.0,5.0,0.0,0.0,2.0,0.0
N. Tagliafico,ARG,6.0,6.0,373.0,7.0,0.778,0.0,16.0,5.0,0.0,0.0,6.0,6.0
N. Molina,ARG,7.0,7.0,568.0,5.0,0.714,1.0,17.0,5.0,0.0,0.0,3.0,0.0
A. Griezmann,FRA,7.0,7.0,538.0,10.0,0.769,3.0,10.0,5.0,0.0,0.0,3.0,9.0
A. Tchouameni,FRA,7.0,7.0,623.0,6.0,0.6,1.0,15.0,5.0,0.0,0.0,7.0,10.0
K. Miller,CAN,3.0,3.0,270.0,2.0,0.667,1.0,16.0,5.0,0.0,0.0,0.0,3.0
D. Lovren,CRO,6.0,6.0,600.0,6.0,0.75,5.0,46.0,5.0,0.0,0.0,2.0,5.0
L. Paqueta,BRA,4.0,4.0,315.0,6.0,0.857,1.0,3.0,5.0,0.0,0.0,4.0,2.0
J. Gimenez,URU,3.0,3.0,270.0,3.0,0.75,4.0,27.0,5.0,0.0,0.0,3.0,3.0
