Team,Players,Average Age,Possession,Games Played,Goals Scored,Taken Penalty,Yellow Cards,Expected Goals,Expected Non-Penalty Goals,Expected Assists,Ball Carry,Ball Pass,Goals per 90,Assists per 90,Non-Penalty Goals per 90,Expected Goals per 90,Expected Assists per 90,Non-Penalty Goals Expected per 90
Argentina,24,27.5,57.4,7,15,5,17,15.1,11.3,7.7,164,310,1.96,1.04,1.43,1.96,1.0,2.48
Australia,20,27.8,37.8,4,3,0,7,2.3,2.3,1.9,39,102,0.75,0.75,0.75,0.58,0.48,1.06
Belgium,20,29.7,57.0,3,1,0,5,4.7,4.7,3.8,47,131,0.33,0.33,0.33,1.57,1.27,2.85
Brazil,26,27.6,56.2,5,8,1,6,12.0,11.2,8.2,115,267,1.5,1.13,1.31,2.24,1.54,3.64
Cameroon,22,27.2,41.7,3,4,0,8,3.4,3.4,2.0,49,90,1.33,1.33,1.33,1.14,0.66,1.8
Canada,19,27.3,52.0,3,1,1,8,4.2,3.6,2.8,55,114,0.33,0.33,0.33,1.41,0.95,2.13
Costa Rica,22,29.7,31.3,3,3,0,6,1.4,1.4,0.6,21,51,1.0,0.33,1.0,0.48,0.2,0.68
Croatia,21,28.3,54.3,7,8,0,8,7.0,7.0,5.6,173,348,1.04,1.04,1.04,0.91,0.74,1.65
Denmark,20,26.6,60.0,3,1,0,5,2.7,2.7,1.8,47,181,0.33,0.33,0.33,0.9,0.59,1.49
Ecuador,18,24.9,53.3,3,4,1,3,3.7,2.9,1.8,31,74,1.33,0.67,1.0,1.24,0.6,1.58
England,20,26.1,62.8,5,13,2,1,8.6,7.0,5.6,90,251,2.6,2.2,2.4,1.72,1.12,2.52
France,24,26.3,51.3,7,16,2,8,13.8,12.2,10.3,157,289,2.18,1.64,1.91,1.88,1.4,3.07
Germany,20,27.3,59.3,3,6,1,3,10.1,9.3,7.5,67,180,2.0,1.67,1.67,3.35,2.5,5.59
Ghana,20,25.5,42.0,3,5,1,8,4.1,3.4,1.7,43,76,1.67,0.67,1.67,1.38,0.57,1.7
IR Iran,21,28.5,36.7,3,4,1,7,3.2,2.8,2.4,43,78,1.33,0.67,1.0,1.07,0.81,1.75
Japan,22,28.0,35.8,4,5,0,6,5.0,5.0,3.5,56,119,1.15,0.92,1.15,1.15,0.81,1.96
Korea Republic,21,28.2,48.3,4,5,0,6,4.6,4.6,3.3,42,181,1.25,0.75,1.25,1.14,0.83,1.98
Mexico,21,28.2,54.0,3,2,0,7,3.3,3.3,2.7,52,121,0.67,0.33,0.67,1.09,0.9,1.99
Morocco,25,26.3,39.0,7,6,0,9,6.6,6.6,4.6,103,170,0.82,0.55,0.82,0.9,0.63,1.53
Netherlands,21,26.8,53.0,5,10,0,12,4.6,4.6,2.9,82,193,1.87,1.5,1.87,0.86,0.54,1.41
Poland,21,27.8,37.3,4,3,2,7,4.5,2.9,1.8,41,84,0.75,0.25,0.5,1.14,0.44,1.18
Portugal,24,26.9,60.4,5,12,2,6,7.9,6.3,5.3,109,221,2.4,2.0,2.0,1.57,1.05,2.31
Qatar,20,28.2,43.0,3,1,0,7,1.4,1.4,1.2,52,71,0.33,0.33,0.33,0.47,0.39,0.87
Saudi Arabia,23,27.3,44.7,3,3,1,14,3.0,2.1,1.4,47,101,1.0,0.67,1.0,0.99,0.47,1.18
Senegal,20,26.9,44.8,4,5,1,7,4.5,3.7,2.4,65,111,1.25,0.5,1.0,1.13,0.61,1.54
Serbia,22,26.5,51.3,3,5,0,12,3.4,3.4,2.9,62,105,1.67,1.33,1.67,1.12,0.95,2.07
Spain,21,25.5,75.8,4,9,1,2,6.2,5.4,4.0,93,270,2.08,1.15,1.85,1.42,0.92,2.16
Switzerland,24,27.6,49.0,4,5,0,9,5.5,5.5,3.6,81,160,1.25,1.0,1.25,1.37,0.91,2.28
Tunisia,21,26.9,44.3,3,1,0,5,2.3,2.3,1.9,28,122,0.33,0.33,0.33,0.77,0.64,1.41
United States,20,24.5,53.0,4,3,0,5,4.1,4.1,3.5,106,173,0.75,0.75,0.75,1.01,0.87,1.89
Uruguay,19,27.6,48.7,3,2,0,8,3.7,3.7,2.8,36,116,0.67,0.33,0.67,1.23,0.92,2.15
Wales,18,26.8,46.7,3,1,1,5,2.7,1.9,1.8,27,85,0.33,0.0,0.0,0.91,0.59,1.23
