Player,Country,Games Played,Games Started,Minutes Played,Goals,Penalty Goals,Assists,Shots,Shots on Goal,Shots off Target,Offsides,Corner Kicks,Yellow Cards,Red Cards,Yellow-Red Cards
K. Mbappe,FRA,7,7,597,8,2,2,28,13,5,6,5,0,0,0
L. Messi,ARG,7,7,690,7,4,3,31,17,11,3,20,1,0,0
J. Alvarez,ARG,7,7,466,4,0,0,11,8,1,5,0,0,0,0
O. Giroud,FRA,6,6,424,4,0,0,16,6,10,2,0,1,0,0
E. Valencia,ECU,3,3,257,3,1,0,9,4,0,2,0,0,0,0
C. Gakpo,NED,5,5,454,3,0,0,6,3,0,3,16,0,0,0
B. Saka,ENG,4,4,291,3,0,0,7,5,2,2,0,0,0,0
A. Morata,ESP,4,4,183,3,0,1,8,5,3,5,0,0,0,0
Richarlison,BRA,4,4,326,3,0,0,6,4,1,1,0,0,0,0
G. Ramos,POR,4,4,153,3,0,1,6,5,1,3,0,0,0,0
M. Rashford,ENG,5,5,138,3,0,0,11,6,3,1,0,0,0,0
W. Weghorst,NED,4,4,61,2,0,0,2,2,0,1,0,1,0,0
H. Kane,ENG,5,5,402,2,1,3,10,6,2,0,0,0,0,0
M. Taremi,IRN,3,3,270,2,1,1,4,2,1,2,0,0,0,0
R. Lewandowski,POL,4,4,360,2,1,1,11,4,4,0,0,0,0,0
S. Al Dawsari,KSA,3,3,270,2,0,0,6,4,2,1,2,1,0,0
K. Havertz,GER,2,2,103,2,0,0,4,2,2,3,0,0,0,0
F. Torres,ESP,4,4,219,2,1,0,5,2,0,2,0,0,0,0
R. Doan,JPN,4,4,218,2,0,0,3,3,0,0,5,0,0,0
A. Kramaric,CRO,7,7,481,2,0,0,11,5,2,2,0,0,0,0
Y. En-Nesyri,MAR,7,7,547,2,0,0,8,3,4,4,0,0,0,0
B. Embolo,SUI,4,4,327,2,0,0,6,3,1,2,0,0,0,0
A. Mitrovic,SRB,3,3,263,2,0,0,11,5,4,1,0,1,0,0
Neymar,BRA,3,3,279,2,1,1,12,9,1,2,9,0,0,0
V. Aboubakar,CMR,3,3,141,2,0,1,6,3,1,0,0,0,0,1
