Player,Country,Games Played,Games Started,Minutes Played,Chances Created,Passes Completed,Pass Accuracy,Passes Final Third,Pass Accuracy Final Third,Dribbles Completed,Long Balls Played
L. Messi,ARG,7.0,7.0,690.0,17.0,287.0,0.88,11.0,0.733,21.0,50.0
A. Griezmann,FRA,7.0,7.0,538.0,15.0,214.0,0.877,5.0,0.455,0.0,19.0
C. Gakpo,NED,5.0,5.0,454.0,9.0,86.0,0.754,1.0,0.5,4.0,22.0
A. Di Maria,ARG,5.0,5.0,290.0,9.0,116.0,0.885,3.0,1.0,16.0,15.0
J. Kimmich,GER,3.0,3.0,270.0,9.0,198.0,0.934,9.0,0.643,1.0,7.0
M. Kovacic,CRO,7.0,7.0,639.0,9.0,390.0,0.931,7.0,0.467,4.0,18.0
Y. Sabaly,SEN,4.0,4.0,360.0,8.0,175.0,0.936,3.0,0.333,4.0,9.0
L. Shaw,ENG,5.0,5.0,425.0,8.0,313.0,0.918,3.0,0.25,2.0,11.0
R. De Paul,ARG,7.0,7.0,603.0,8.0,450.0,0.913,9.0,0.45,3.0,18.0
A. Mac Allister,ARG,6.0,6.0,554.0,8.0,233.0,0.914,1.0,0.333,2.0,11.0
T. Hernandez,FRA,6.0,6.0,508.0,8.0,257.0,0.915,4.0,0.5,1.0,7.0
K. Mbappe,FRA,7.0,7.0,597.0,8.0,155.0,0.881,4.0,0.8,27.0,45.0
D. Tadic,SRB,3.0,3.0,258.0,8.0,79.0,0.859,3.0,0.5,2.0,9.0
K. De Bruyne,BEL,3.0,3.0,270.0,8.0,88.0,0.807,2.0,0.286,0.0,7.0
O. Dembele,FRA,7.0,7.0,437.0,8.0,139.0,0.88,0.0,0.0,10.0,18.0
A. Tchouameni,FRA,7.0,7.0,623.0,7.0,398.0,0.948,6.0,0.5,1.0,10.0
I. Sarr,SEN,4.0,4.0,344.0,6.0,49.0,0.766,0.0,0.4666521739130435,11.0,20.0
C. Pulisic,USA,4.0,4.0,315.0,6.0,79.0,0.798,0.0,0.0,4.0,25.0
M. Taremi,IRN,3.0,3.0,270.0,6.0,50.0,0.714,1.0,1.0,2.0,12.0
P. Zielinski,POL,4.0,4.0,330.0,6.0,99.0,0.892,2.0,0.25,3.0,6.0
H. Lozano,MEX,3.0,3.0,253.0,6.0,40.0,0.816,0.0,0.0,1.0,14.0
S. Al Dawsari,KSA,3.0,3.0,270.0,6.0,80.0,0.851,1.0,0.333,7.0,10.0
T. Muller,GER,3.0,3.0,203.0,6.0,46.0,0.78,1.0,1.0,0.0,6.0
D. Raum,GER,3.0,3.0,243.0,6.0,135.0,0.912,2.0,0.4,1.0,4.0
J. Musiala,GER,3.0,3.0,259.0,6.0,92.0,0.836,0.0,0.4666521739130435,10.0,31.0
