Player,Country,Games Played,Games Started,Minutes Played,Chances Created,Passes Completed,Pass Accuracy,Passes Final Third,Pass Accuracy Final Third,Dribbles Completed,Long Balls Played
L. Messi,ARG,1.0,1.0,1.0,1.0,0.6024390243902439,0.7094017094017095,1.0,0.733,0.7777777777777777,1.0
A. Griezmann,FRA,1.0,1.0,0.6878850102669405,0.8181818181818183,0.42439024390243907,0.6965811965811968,0.4545454545454546,0.455,0.0,0.32608695652173914
C. Gakpo,NED,0.5,0.5,0.5154004106776181,0.2727272727272728,0.1121951219512195,0.17094017094017122,0.09090909090909091,0.5,0.14814814814814814,0.391304347826087
A. Di Maria,ARG,0.5,0.5,0.17864476386036965,0.2727272727272728,0.18536585365853656,0.7307692307692308,0.2727272727272727,1.0,0.5925925925925926,0.2391304347826087
J. Kimmich,GER,0.0,0.0,0.13757700205338808,0.2727272727272728,0.3853658536585366,0.9401709401709404,0.8181818181818182,0.643,0.037037037037037035,0.06521739130434784
M. Kovacic,CRO,1.0,1.0,0.8952772073921971,0.2727272727272728,0.8536585365853658,0.9273504273504276,0.6363636363636364,0.467,0.14814814814814814,0.3043478260869565
Y. Sabaly,SEN,0.25,0.25,0.322381930184805,0.18181818181818188,0.3292682926829268,0.9487179487179489,0.2727272727272727,0.333,0.14814814814814814,0.10869565217391303
L. Shaw,ENG,0.5,0.5,0.45585215605749485,0.18181818181818188,0.6658536585365854,0.8717948717948723,0.2727272727272727,0.25,0.07407407407407407,0.15217391304347827
R. De Paul,ARG,1.0,1.0,0.8213552361396304,0.18181818181818188,1.0,0.8504273504273505,0.8181818181818182,0.45,0.1111111111111111,0.3043478260869565
A. Mac Allister,ARG,0.75,0.75,0.7207392197125257,0.18181818181818188,0.47073170731707314,0.8547008547008548,0.09090909090909091,0.333,0.07407407407407407,0.15217391304347827
T. Hernandez,FRA,0.75,0.75,0.6262833675564683,0.18181818181818188,0.5292682926829269,0.858974358974359,0.36363636363636365,0.5,0.037037037037037035,0.06521739130434784
K. Mbappe,FRA,1.0,1.0,0.809034907597536,0.18181818181818188,0.2804878048780488,0.7136752136752138,0.36363636363636365,0.8,1.0,0.8913043478260869
D. Tadic,SRB,0.0,0.0,0.11293634496919913,0.18181818181818188,0.0951219512195122,0.6196581196581197,0.2727272727272727,0.5,0.07407407407407407,0.10869565217391303
K. De Bruyne,BEL,0.0,0.0,0.13757700205338808,0.18181818181818188,0.11707317073170731,0.3974358974358978,0.18181818181818182,0.286,0.0,0.06521739130434784
O. Dembele,FRA,1.0,1.0,0.4804928131416838,0.18181818181818188,0.24146341463414636,0.7094017094017095,0.0,0.0,0.37037037037037035,0.3043478260869565
A. Tchouameni,FRA,1.0,1.0,0.862422997946612,0.09090909090909094,0.8731707317073171,1.0,0.5454545454545454,0.5,0.037037037037037035,0.13043478260869565
I. Sarr,SEN,0.25,0.25,0.28952772073921973,0.0,0.021951219512195114,0.22222222222222232,0.0,0.4666521739130435,0.4074074074074074,0.34782608695652173
C. Pulisic,USA,0.25,0.25,0.22997946611909648,0.0,0.0951219512195122,0.3589743589743595,0.0,0.0,0.14814814814814814,0.45652173913043476
M. Taremi,IRN,0.0,0.0,0.13757700205338808,0.0,0.02439024390243902,0.0,0.09090909090909091,1.0,0.07407407407407407,0.17391304347826086
P. Zielinski,POL,0.25,0.25,0.2607802874743327,0.0,0.14390243902439023,0.7606837606837606,0.18181818181818182,0.25,0.1111111111111111,0.043478260869565216
H. Lozano,MEX,0.0,0.0,0.10266940451745377,0.0,0.0,0.4358974358974357,0.0,0.0,0.037037037037037035,0.2173913043478261
S. Al Dawsari,KSA,0.0,0.0,0.13757700205338808,0.0,0.0975609756097561,0.5854700854700856,0.09090909090909091,0.333,0.25925925925925924,0.13043478260869565
T. Muller,GER,0.0,0.0,0.0,0.0,0.014634146341463414,0.2820512820512824,0.09090909090909091,1.0,0.0,0.043478260869565216
D. Raum,GER,0.0,0.0,0.08213552361396304,0.0,0.23170731707317074,0.8461538461538463,0.18181818181818182,0.4,0.037037037037037035,0.0
J. Musiala,GER,0.0,0.0,0.1149897330595483,0.0,0.12682926829268293,0.5213675213675213,0.0,0.4666521739130435,0.37037037037037035,0.5869565217391304
